Geography,total,englishOnly,spanish,spanWell,spanLess,french,frenWell,frenLess,german,germWell,germLess,russian,russWell,russLess,indoEuro,indoWell,indoLess,korean,koreWell,koreLess,chinese,chinWell,chinLess,vietnamese,vietWell,vietLess,tagolog,tagoWell,tagoLess,otherAsian,otherAzWell,otherAzLess,arabic,arabWell,arabLess,other,otherWell,otherLess,shareEng,shareSpan,shareFren,shareGerm,shareRuss,shareIndo,shareKore,shareChin,shareViet,shareTago,shareOtherAz,shareArab,shareOther
Oregon,3793273,3214945,343032,207448,135584,11201,9545,1656,17497,16040,1457,33107,19824,13283,35090,25643,9447,9897,5200,4697,29681,14298,15383,24966,9658,15308,10552,7399,3153,39317,24893,14424,8056,5307,2749,15932,10645,5287,0.847538524,0.090431667,0.002952859,0.004612639,0.008727819,0.009250586,0.002609092,0.007824641,0.006581651,0.002781767,0.010364928,0.00212376,0.004200067
Baker,15172,14566,360,199,161,31,31,0,81,79,2,25,25,0,23,13,10,15,11,4,5,5,0,34,25,9,4,0,4,4,4,0,0,0,0,24,24,0,0.960058002,0.02372792,0.002043238,0.005338782,0.001647772,0.00151595,0.000988663,0.000329554,0.00224097,0.000263644,0.000263644,0,0.001581861
Benton,84541,72748,4912,3810,1102,269,252,17,529,495,34,258,249,9,866,623,243,580,182,398,2126,964,1162,273,233,40,120,95,25,984,667,317,476,303,173,400,370,30,0.860505554,0.058101986,0.003181888,0.006257319,0.003051774,0.01024355,0.006860577,0.025147562,0.003229202,0.00141943,0.011639323,0.005630404,0.004731432
Clackamas,378115,332299,22019,13998,8021,1244,998,246,1836,1640,196,5499,3627,1872,3769,2896,873,866,437,429,3588,2041,1547,1728,829,899,1003,756,247,2968,1871,1097,697,513,184,599,430,169,0.878830515,0.058233606,0.003290004,0.004855666,0.014543195,0.009967867,0.002290309,0.009489177,0.004570038,0.002652632,0.007849464,0.001843355,0.001584174
Clatsop,35948,32873,2151,1401,750,219,219,0,174,160,14,56,43,13,85,85,0,10,10,0,58,26,32,21,0,21,35,29,6,186,124,62,15,7,8,65,14,51,0.914459775,0.05983643,0.006092133,0.004840325,0.001557806,0.002364527,0.00027818,0.001613442,0.000584177,0.000973629,0.00517414,0.000417269,0.001808167
Columbia,47601,45705,1131,659,472,70,70,0,87,87,0,31,31,0,95,73,22,4,0,4,126,51,75,30,13,17,89,46,43,206,183,23,0,0,0,27,12,15,0.960168904,0.023760005,0.001470557,0.001827693,0.000651247,0.001995756,8.40318E-05,0.002647003,0.000630239,0.001869709,0.00432764,0,0.000567215
Coos,59810,56747,1882,1236,646,64,13,51,382,358,24,69,61,8,109,93,16,71,35,36,133,102,31,77,36,41,63,40,23,145,119,26,0,0,0,68,68,0,0.948787828,0.03146631,0.001070055,0.006386892,0.001153653,0.001822438,0.001187092,0.002223708,0.00128741,0.001053336,0.002424344,0,0.001136934
Crook,20732,19365,976,763,213,13,13,0,119,119,0,85,85,0,22,22,0,0,0,0,1,1,0,17,17,0,11,0,11,107,89,18,0,0,0,16,16,0,0.934063284,0.047076982,0.00062705,0.005739919,0.004099942,0.001061161,0,4.82346E-05,0.000819988,0.000530581,0.005161104,0,0.000771754
Curry,21518,20466,540,359,181,52,52,0,122,120,2,78,48,30,175,114,61,0,0,0,61,27,34,0,0,0,6,6,0,15,15,0,0,0,0,3,3,0,0.951110698,0.025095269,0.002416581,0.005669672,0.003624872,0.008132726,0,0.002834836,0,0.000278836,0.000697091,0,0.000139418
Deschutes,166081,155403,7520,5012,2508,241,184,57,777,686,91,121,74,47,581,511,70,231,101,130,202,35,167,113,0,113,161,107,54,527,350,177,77,71,6,127,87,40,0.935706071,0.045279111,0.001451099,0.00467844,0.00072856,0.003498293,0.001390888,0.001216274,0.000680391,0.000969406,0.00317315,0.000463629,0.000764687
